iter	Passed	Remaining
215	190612	17458677
216	191530	17461075
217	192395	17458612
218	193272	17457222
219	194180	17458556
220	195045	17456168
221	195912	17453870
222	196758	17449707
223	197682	17452527
224	198531	17448670
225	199469	17452664
226	200342	17450939
227	201262	17453362
228	202192	17456551
229	203118	17459378
230	204013	17459486
231	204950	17463180
232	205851	17463764
233	206710	17460889
234	207600	17460495
235	208480	17459394
236	209267	17450413
237	210069	17442810
238	210913	17438791
239	211750	17434151
240	212635	17433431
241	213464	17428233
242	214270	17421142
243	215106	17416544
244	215917	17409986
245	216754	17405569
246	217582	17400457
247	218372	17392352
248	219190	17386489
249	219994	17379528
250	220849	17376749
251	221727	17375686
252	222598	17374129
253	223411	17368010
254	224223	17361949
255	225092	17360280
256	225951	17357818
257	226875	17360387
258	227700	17355353
259	228522	17350145
260	229454	17353267
261	230378	17355740
262	231261	17355193
263	232175	17356903
264	233063	17356623
265	233923	17354319
266	234781	17351884
267	235643	17349706
268	236487	17346257
269	237343	17343633
270	238314	17349439
271	239126	17343720
272	240038	17345190
273	240926	17344956
274	241795	17343314
275	242661	17341482
276	243531	17339971
277	244399	17338265
278	245276	17337280
279	246169	17337335
280	247071	17338085
281	247967	17338367
282	248870	17339131
283	249755	17338646
284	250597	17335216
285	251445	17332137
286	252358	17333628
287	253216	17331279
288	254098	17330538
289	254928	17326355
290	255847	17328201
291	256770	17330262
292	257665	17330429
293	258559	17330522
294	259448	17330295
295	260323	17329128
296	261131	17323476
297	261935	17317636
298	262729	17311181
299	263550	17306509
300	264352	17300611
301	265166	17295555
302	265963	17289396
303	266774	17284191
304	267579	17278645
305	268414	17274999
306	269214	17269203
307	270064	17266572
308	270892	17262632
309	271722	17258732
310	272524	17253145
311	273329	17247786
312	274118	17241461
313	274918	17235804
314	275729	17230928
315	276528	17225269
316	277345	17220805
317	278135	17214670
318	278943	17209664
319	279733	17203622
320	280546	17198970
321	281364	17194678
322	282191	17190969
323	282978	17184818
324	283815	17181729
325	284643	17178161
326	285495	17176008
327	286283	17170026
328	287096	17165560
329	287926	17162171
330	288711	17156096
331	289543	17152860
332	290351	17148178
333	291175	17144481
334	291977	17139537
335	292786	17134987
336	293600	17130735
337	294387	17125009
338	295178	17119457
339	295996	17115581
340	296818	17111917
341	297618	17106955
342	298411	17101649
343	299209	17096710
344	300021	17092534
345	300831	17088268
346	301672	17085766
347	302473	17081054
348	303267	17075967
349	304075	17071645
350	304885	17067485
351	305685	17062802
352	306492	17058520
353	307305	17054583
354	308089	17049091
355	308892	17044630
356	309688	17039829
357	310521	17037033
358	311335	17033245
359	312165	17030348
360	312974	17026306
361	313784	17022385
362	314597	17018612
363	315488	17019035
364	316313	17015939
365	317107	17011169
366	317935	17008223
367	318753	17004816
368	319562	17000891
369	320346	16995675
370	321165	16992349
371	321977	16988656
372	322776	16984281
373	323610	16981755
374	324420	16978024
375	325213	16973366
376	326019	16969447
377	326819	16965231
378	327612	16960671
379	328421	16956935
380	329235	16953449
381	330032	16949159
382	330829	16944883
383	331648	16941706
384	332466	16938528
385	333262	16934222
386	334078	16930972
387	334928	16929408
388	335754	16926662
389	336603	16925103
390	337441	16922970
391	338270	16920419
392	339082	16917042
393	339907	16914277
394	340723	16911095
395	341537	16907821
396	342350	16904517
397	343175	16901840
398	343974	16897860
399	344774	16893926
400	345603	16891484
401	346464	16890570
402	347261	16886567
403	348090	16884097
404	348888	16880192
405	349700	16876941
406	350504	16873315
407	351318	16870192
408	352133	16867095
409	352940	16863685
410	353757	16860700
411	354582	16858154
412	355406	16855584
413	356246	16853749
414	357032	16849353
415	357831	16845607
416	358653	16842934
417	359454	16839343
418	360260	16835953
419	361108	16834538
420	361922	16831561
421	362731	16828318
422	363546	16825420
423	364362	16822560
424	365154	16818604
425	365949	16814755
426	366762	16811813
427	367606	16810261
428	368420	16807376
429	369243	16804879
430	370058	16802048
431	370873	16799202
432	371675	16795782
433	372525	16794557
434	373317	16790727
435	374164	16789347
436	374963	16785849
437	375744	16781530
438	376566	16779076
439	377379	16776216
440	378186	16773124
441	379033	16771781
442	379848	16769050
443	380650	16765786
444	381433	16761655
445	382258	16759390
446	383071	16756607
447	383869	16753164
448	384675	16750096
449	385461	16746161
450	386265	16743011
451	387065	16739728
452	387865	16736428
453	388702	16734735
454	389500	16731401
455	390314	16728747
456	391113	16725468
457	391920	16722510
458	392746	16720394
459	393589	16718976
460	394394	16716011
461	395217	16713753
462	396020	16710714
463	396828	16707831
464	397625	16704558
465	398472	16703350
466	399308	16701709
467	400117	16698930
468	400929	16696287
469	401737	16693491
470	402572	16691800
471	403387	16689305
472	404291	16690496
473	405193	16691567
474	406040	16690395
475	406855	16687897
476	407732	16687951
477	408589	16687219
478	409432	16685858
479	410273	16684473
480	411135	16683896
481	411994	16683195
482	412826	16681431
483	413653	16679483
484	414495	16678119
485	415339	16676802
486	416145	16674014
487	416998	16673117
488	417815	16670767
489	418686	16670542
490	419560	16670471
491	420440	16670621
492	421273	16668915
493	422110	16667380
494	422971	16666803
495	423812	16665397
496	424659	16664252
497	425522	16663738
498	426379	16662982
499	427224	16661770
500	428038	16659315
501	428844	16656598
502	429657	16654153
503	430458	16651219
504	431256	16648225
505	432068	16645756
506	432880	16643274
507	433675	16640171
508	434493	16637929
509	435304	16635470
510	436108	16632723
511	436923	16630418
512	437762	16628983
513	438549	16625643
514	439366	16623425
515	440173	16620811
516	441008	16619269
517	441855	16618215
518	442660	16615535
519	443462	16612785
520	444256	16609733
521	445055	16606877
522	445905	16605921
523	446704	16603081
524	447538	16601538
525	448347	16599071
526	449199	16598205
527	450007	16595730
528	450821	16593456
529	451627	16590918
530	452431	16588297
531	453268	16586902
532	454075	16584415
533	454902	16582660
534	455717	16580438
535	456535	16578355
536	457350	16576195
537	458163	16573942
538	458973	16571570
539	459770	16568782
540	460563	16565819
541	461389	16564046
542	462170	16560696
543	462978	16558302
544	463814	16556910
545	464620	16554435
546	465448	16552788
547	466279	16551237
548	467076	16548466
549	467893	16546426
550	468731	16545100
551	469599	16544875
552	470407	16542518
553	471235	16540861
554	472050	16538777
555	472846	16536036
556	473636	16533045
557	474488	16532283
558	475274	16529169
559	476072	16526533
560	476895	16524733
561	477730	16523344
562	478554	16521602
563	479358	16519182
564	480186	16517570
565	480991	16515170
566	481799	16512908
567	482629	16511372
568	483442	16509263
569	484291	16508398
570	485073	16505230
571	485895	16503465
572	486722	16501842
573	487509	16498874
574	488321	16496783
575	489154	16495378
576	489934	16492213
577	490755	16490390
578	491558	16488021
579	492373	16486033
580	493177	16483683
581	494003	16482056
582	494803	16479596
583	495614	16477483
584	496433	16475635
585	497229	16473044
586	498052	16471368
587	498866	16469392
588	499674	16467215
589	500488	16465222
590	501287	16462747
591	502092	16460478
592	502915	16458809
593	503714	16456384
594	504509	16453795
595	505404	16454489
596	506215	16452432
597	507024	16450317
598	507827	16448023
599	508678	16447255
600	509494	16445399
601	510295	16443037
602	511107	16441059
603	511927	16439313
604	512727	16436934
605	513558	16435573
606	514371	16433612
607	515166	16431087
608	515969	16428830
609	516811	16427832
610	517651	16426743
611	518459	16424649
612	519262	16422412
613	520073	16420425
614	520894	16418751
615	521712	16416993
616	522537	16415463
617	523355	16413720
618	524172	16411940
619	524984	16409990
620	525800	16408200
621	526624	16406643
622	527463	16405559
623	528247	16402773
624	529036	16400130
625	529857	16398489
626	530675	16396762
627	531502	16395324
628	532320	16393598
629	533101	16390754
630	533921	16389117
631	534770	16388342
632	535573	16386172
633	536404	16384858
634	537215	16382958
635	538052	16381842
636	538853	16379629
637	539673	16377978
638	540487	16376182
639	541310	16374628
640	542123	16372811
641	542950	16371409
642	543756	16369339
643	544588	16368106
644	545383	16365728
645	546169	16363107
646	546969	16360904
647	547772	16358790
648	548607	16357634
649	549434	16356252
650	550241	16354256
651	551058	16352586
652	551875	16350895
653	552685	16349014
654	553504	16347392
655	554341	16346309
656	555193	16345677
657	556098	16346586
658	556945	16345808
659	557855	16346845
660	558703	16346100
661	559561	16345622
662	560364	16343537
663	561223	16343113
664	562063	16342110
665	562932	16341945
666	563811	16342075
667	564655	16341205
668	565520	16340914
669	566385	16340655
670	567225	16339639
671	568057	16338423
672	568935	16338521
673	569734	16336326
674	570548	16334590
675	571409	16334201
676	572253	16333326
677	573080	16331937
678	573913	16330760
679	574745	16329520
680	575607	16329161
681	576458	16328490
682	577362	16329287
683	578217	16328734
684	579084	16328478
685	579985	16329223
686	580923	16330966
687	581779	16330412
688	582680	16331123
689	583588	16332026
690	584522	16333639
691	585436	16334690
692	586337	16335376
693	587224	16335663
694	588315	16341630
695	589236	16342851
696	590203	16345335
697	591191	16348399
698	592311	16355078
699	593706	16369341
700	594873	16377259
701	596026	16384787
702	596924	16385292
703	597879	16387334
704	599002	16393985
705	599926	16395163
706	600818	16395472
707	601700	16395476
708	602618	16396485
709	603548	16397815
710	604428	16397778
711	605334	16398444
712	606278	16400118
713	607181	16400710
714	608082	16401208
715	609033	16403073
716	609930	16403483
717	610764	16402174
718	611627	16401642
719	612506	16401551
720	613345	16400411
721	614198	16399599
722	615046	16398677
723	615941	16399006
724	616801	16398402
725	617655	16397658
726	618515	16397032
727	619355	16395903
728	620182	16394434
729	621033	16393593
730	621893	16392971
731	622709	16391199
732	623564	16390475
733	624465	16390931
734	625476	16394287
735	626402	16395396
736	627256	16394625
737	628098	16393535
738	628897	16391340
739	629846	16393028
740	630738	16393233
741	631588	16392356
742	632457	16391980
743	633269	16390117
744	634064	16387794
745	634856	16385412
746	635661	16383386
747	636497	16382140
748	637333	16380929
749	638172	16379753
750	638988	16378019
751	639824	16376795
752	640658	16375498
753	641488	16374121
754	642310	16372524
755	643160	16371678
756	643945	16369148
757	644750	16367143
758	645575	16365625
759	646375	16363512
760	647193	16361832
761	648051	16361185
762	648857	16359209
763	649675	16357535
764	650486	16355703
765	651292	16353729
766	652101	16351848
767	652930	16350459
768	653756	16349004
769	654546	16346663
770	655345	16344538
771	656192	16343621
772	656991	16341484
773	657837	16340542
774	658680	16339528
775	659546	16339070
776	660411	16338588
777	661358	16340144
778	662269	16340792
779	663099	16339444
780	663959	16338854
781	664803	16337843
782	665615	16336054
783	666525	16336682
784	667492	16338675
785	668473	16341027
786	669387	16341724
787	670242	16340976
788	671172	16342080
789	672106	16343255
790	672992	16343264
791	673901	16343809
792	674866	16345722
793	675782	16346442
794	676648	16345955
795	677479	16344628
796	678338	16343949
797	679213	16343682
798	680125	16344300
799	680989	16343751
800	681823	16342476
801	682783	16344229
802	683673	16344311
803	684509	16343094
804	685376	16342619
805	686455	16347190
806	687437	16349431
807	688310	16349078
808	689180	16348655
809	690081	16348972
810	690965	16348880
811	691894	16349849
812	692775	16349672
