iter	MultiClass
530	1.098462053
531	1.098461771
532	1.098461489
533	1.098461207
534	1.098460925
535	1.098460643
536	1.098460361
537	1.098460078
538	1.098459797
539	1.098459515
540	1.098459229
541	1.098458946
542	1.098458664
543	1.098458382
544	1.098458096
545	1.098457815
546	1.098457535
547	1.098457248
548	1.098456965
549	1.098456683
550	1.098456401
551	1.098456122
552	1.098455835
553	1.098455555
554	1.098455274
555	1.098454993
556	1.09845471
557	1.098454428
558	1.098454145
559	1.098453862
560	1.09845358
561	1.098453298
562	1.098453016
563	1.098452733
564	1.098452451
565	1.098452169
566	1.098451882
567	1.098451599
568	1.098451316
569	1.098451032
570	1.09845075
571	1.098450468
572	1.098450186
573	1.098449904
574	1.098449621
575	1.098449339
576	1.098449052
577	1.098448771
578	1.09844849
579	1.098448208
580	1.098447919
581	1.098447638
582	1.098447351
583	1.09844707
584	1.098446788
585	1.098446505
586	1.098446223
587	1.098445942
588	1.098445658
589	1.098445375
590	1.098445093
591	1.098444805
592	1.098444523
593	1.098444241
594	1.098443958
595	1.098443676
596	1.098443393
597	1.098443111
598	1.09844283
599	1.098442544
600	1.098442262
601	1.098441979
602	1.098441697
603	1.098441415
604	1.098441128
605	1.098440842
606	1.098440562
607	1.098440282
608	1.098440001
609	1.098439719
610	1.098439437
611	1.098439155
612	1.098438872
613	1.09843859
614	1.098438307
615	1.098438027
616	1.098437745
617	1.098437459
618	1.098437176
619	1.098436897
620	1.098436615
621	1.098436333
622	1.09843605
623	1.098435765
624	1.098435482
625	1.0984352
626	1.098434913
627	1.098434632
628	1.098434347
629	1.098434065
630	1.098433779
631	1.098433497
632	1.098433214
633	1.098432932
634	1.098432649
635	1.098432365
636	1.098432084
637	1.098431802
638	1.098431522
639	1.09843124
640	1.098430957
641	1.098430676
642	1.098430392
643	1.09843011
644	1.098429828
645	1.098429546
646	1.098429264
647	1.098428976
648	1.098428693
649	1.09842841
650	1.098428127
651	1.09842784
652	1.098427559
653	1.098427276
654	1.098426995
655	1.098426708
656	1.098426427
657	1.09842614
658	1.098425858
659	1.098425577
660	1.098425296
661	1.098425013
662	1.098424726
663	1.098424443
664	1.09842416
665	1.098423877
666	1.098423595
667	1.098423308
668	1.098423022
669	1.098422734
670	1.098422451
671	1.098422168
672	1.098421887
673	1.098421606
674	1.098421324
675	1.098421041
676	1.098420758
677	1.098420475
678	1.098420192
679	1.098419913
680	1.09841963
681	1.098419348
682	1.098419065
683	1.098418782
684	1.098418499
685	1.098418217
686	1.098417933
687	1.098417651
688	1.098417368
689	1.098417086
690	1.098416799
691	1.098416516
692	1.098416234
693	1.098415948
694	1.098415667
695	1.098415385
696	1.098415106
697	1.098414823
698	1.098414539
699	1.098414257
700	1.098413975
701	1.098413694
702	1.098413411
703	1.098413125
704	1.098412839
705	1.098412551
706	1.09841227
707	1.098411987
708	1.098411701
709	1.098411419
710	1.098411134
711	1.098410852
712	1.098410569
713	1.098410287
714	1.098410005
715	1.098409723
716	1.098409441
717	1.098409158
718	1.098408876
719	1.098408594
720	1.098408314
721	1.098408028
722	1.098407746
723	1.098407464
724	1.098407182
725	1.098406895
726	1.098406613
727	1.098406333
728	1.098406051
729	1.098405769
730	1.098405482
731	1.0984052
732	1.098404917
733	1.098404635
734	1.098404353
735	1.09840407
736	1.098403789
737	1.098403506
738	1.098403224
739	1.098402941
740	1.09840266
741	1.098402377
742	1.098402091
743	1.098401809
744	1.098401527
745	1.098401245
746	1.098400962
747	1.098400683
748	1.098400401
749	1.098400119
750	1.098399833
751	1.098399551
752	1.098399269
753	1.098398987
754	1.098398707
755	1.098398425
756	1.098398143
757	1.09839786
758	1.09839758
759	1.098397297
760	1.098397016
761	1.098396734
762	1.098396451
763	1.098396165
764	1.098395878
765	1.098395597
766	1.098395316
767	1.098395034
768	1.098394751
769	1.098394468
770	1.098394185
771	1.098393904
772	1.098393621
773	1.09839334
774	1.098393058
775	1.098392777
776	1.098392494
777	1.098392211
778	1.09839193
779	1.098391648
780	1.098391366
781	1.098391084
782	1.098390799
783	1.098390513
784	1.098390231
785	1.098389949
786	1.098389668
787	1.098389386
788	1.098389103
789	1.098388821
790	1.098388539
791	1.098388254
792	1.098387974
793	1.098387692
794	1.098387411
795	1.098387129
796	1.098386847
797	1.09838656
798	1.098386278
799	1.098385994
800	1.098385713
801	1.098385427
802	1.098385144
803	1.098384862
804	1.09838458
805	1.098384297
806	1.098384015
807	1.098383735
808	1.098383451
809	1.098383169
810	1.098382886
811	1.098382604
812	1.098382322
